question_id,category,category_label,expected_relation_hops,method,correctness_1_5,completeness_1_5,traceability_1_5,consistency_1_5,notes
Q001,traceability,Nachvollziehbarkeit,2,classic,,,,,
Q001,traceability,Nachvollziehbarkeit,2,graph,,,,,
Q002,relational_troubleshooting,Relationale Troubleshooting-Frage,3,classic,,,,,
Q002,relational_troubleshooting,Relationale Troubleshooting-Frage,3,graph,,,,,
Q003,traceability,Nachvollziehbarkeit,3,classic,,,,,
Q003,traceability,Nachvollziehbarkeit,3,graph,,,,,
Q004,configuration_conflict,Konfigurationskonflikt,3,classic,,,,,
Q004,configuration_conflict,Konfigurationskonflikt,3,graph,,,,,
Q005,procedural,Prozedurale Frage,1,classic,,,,,
Q005,procedural,Prozedurale Frage,1,graph,,,,,
Q006,relational_troubleshooting,Relationale Troubleshooting-Frage,3,classic,,,,,
Q006,relational_troubleshooting,Relationale Troubleshooting-Frage,3,graph,,,,,
Q007,procedural,Prozedurale Frage,2,classic,,,,,
Q007,procedural,Prozedurale Frage,2,graph,,,,,
Q008,multi_hop,Multi-Hop-Frage,4,classic,,,,,
Q008,multi_hop,Multi-Hop-Frage,4,graph,,,,,
Q009,factual_simple,Einfache Faktenfrage,1,classic,,,,,
Q009,factual_simple,Einfache Faktenfrage,1,graph,,,,,
Q010,relational_troubleshooting,Relationale Troubleshooting-Frage,2,classic,,,,,
Q010,relational_troubleshooting,Relationale Troubleshooting-Frage,2,graph,,,,,
Q011,configuration_conflict,Konfigurationskonflikt,3,classic,,,,,
Q011,configuration_conflict,Konfigurationskonflikt,3,graph,,,,,
Q012,factual_simple,Einfache Faktenfrage,1,classic,,,,,
Q012,factual_simple,Einfache Faktenfrage,1,graph,,,,,
Q013,configuration_conflict,Konfigurationskonflikt,3,classic,,,,,
Q013,configuration_conflict,Konfigurationskonflikt,3,graph,,,,,
Q014,configuration_conflict,Konfigurationskonflikt,3,classic,,,,,
Q014,configuration_conflict,Konfigurationskonflikt,3,graph,,,,,
Q015,configuration_conflict,Konfigurationskonflikt,3,classic,,,,,
Q015,configuration_conflict,Konfigurationskonflikt,3,graph,,,,,
Q016,configuration_conflict,Konfigurationskonflikt,3,classic,,,,,
Q016,configuration_conflict,Konfigurationskonflikt,3,graph,,,,,
Q017,multi_hop,Multi-Hop-Frage,4,classic,,,,,
Q017,multi_hop,Multi-Hop-Frage,4,graph,,,,,
Q018,factual_simple,Einfache Faktenfrage,1,classic,,,,,
Q018,factual_simple,Einfache Faktenfrage,1,graph,,,,,
Q019,multi_hop,Multi-Hop-Frage,4,classic,,,,,
Q019,multi_hop,Multi-Hop-Frage,4,graph,,,,,
Q020,factual_simple,Einfache Faktenfrage,1,classic,,,,,
Q020,factual_simple,Einfache Faktenfrage,1,graph,,,,,
Q021,procedural,Prozedurale Frage,2,classic,,,,,
Q021,procedural,Prozedurale Frage,2,graph,,,,,
Q022,relational_troubleshooting,Relationale Troubleshooting-Frage,3,classic,,,,,
Q022,relational_troubleshooting,Relationale Troubleshooting-Frage,3,graph,,,,,
Q023,factual_simple,Einfache Faktenfrage,1,classic,,,,,
Q023,factual_simple,Einfache Faktenfrage,1,graph,,,,,
Q024,procedural,Prozedurale Frage,2,classic,,,,,
Q024,procedural,Prozedurale Frage,2,graph,,,,,
Q025,traceability,Nachvollziehbarkeit,3,classic,,,,,
Q025,traceability,Nachvollziehbarkeit,3,graph,,,,,
Q026,factual_simple,Einfache Faktenfrage,1,classic,,,,,
Q026,factual_simple,Einfache Faktenfrage,1,graph,,,,,
Q027,multi_hop,Multi-Hop-Frage,4,classic,,,,,
Q027,multi_hop,Multi-Hop-Frage,4,graph,,,,,
Q028,multi_hop,Multi-Hop-Frage,4,classic,,,,,
Q028,multi_hop,Multi-Hop-Frage,4,graph,,,,,
Q029,relational_troubleshooting,Relationale Troubleshooting-Frage,3,classic,,,,,
Q029,relational_troubleshooting,Relationale Troubleshooting-Frage,3,graph,,,,,
Q030,multi_hop,Multi-Hop-Frage,4,classic,,,,,
Q030,multi_hop,Multi-Hop-Frage,4,graph,,,,,
